Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Screen,Situation,Origin,Oddman,G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,ShooterPlayerId,A1PlayerId,A2PlayerId,A3PlayerId
1,19:33,5v5,EDM,91.0,t,29.0,27.0,,orrr,nl,,,,,r,nz,,,0,0,20116,10/27/2022,CHI,EDM,8481813,8476886.0,8476850.0,
1,18:57,5v5,EDM,91.0,w,25.0,5.0,,nl,dr,,,y,,r,dz,,,0,0,20116,10/27/2022,CHI,EDM,8481813,8476495.0,8471816.0,
1,18:40,5v5,EDM,37.0,W,,,,,,,,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8471402,,,
1,17:38,5v5,CHI,23.0,w,24.0,23.0,,or,or,,,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8480798,8476805.0,8480798.0,
1,17:24,5v5,CHI,4.0,w,43.0,,,opl,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8477495,8477300.0,,
1,17:13,5v5,CHI,8.0,s,58.0,,,oelpl,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8460770,8480025.0,,
1,17:10,5v5,CHI,52.0,r,,,,,,,y,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8471736,,,
1,15:56,5v5,EDM,5.0,w,97.0,25.0,91.0,oc,ol,opl,y,,,r,dz,,,0,0,20116,10/27/2022,CHI,EDM,8471816,8478402.0,8476495.0,8481813.0
1,15:55,5v5,EDM,25.0,s,,,,,,,,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8476495,,,
1,15:36,5v5,EDM,25.0,w,97.0,93.0,97.0,opl,ol,ol,,y,,c,oz,,,0,0,20116,10/27/2022,CHI,EDM,8476495,8478402.0,8476454.0,8478402.0
1,11:25,5v4,CHI,88.0,w,4.0,88.0,,oc,opr,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8474141,8477495.0,8474141.0,
1,11:14,5v4,CHI,4.0,o,88.0,11.0,,opr,oc,,,y,,,,,,0,0,20116,10/27/2022,CHI,EDM,8477495,8474141.0,8471742.0,
1,11:01,5v4,CHI,88.0,w,19.0,4.0,88.0,orrl,oc,opr,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8474141,8473604.0,8477495.0,8474141.0
1,10:34,5v4,CHI,89.0,t,82.0,17.0,,oc,opr,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8476960,8478452.0,8480153.0,
1,10:16,5v4,CHI,89.0,w,82.0,,,nr,,,,,,r,,,,0,0,20116,10/27/2022,CHI,EDM,8476960,8478452.0,,
1,10:14,5v4,CHI,89.0,w,,,,,,,,y,,,,,,0,0,20116,10/27/2022,CHI,EDM,8476960,,,
1,10:02,5v5,CHI,5.0,w,,,,,,,,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8468927,,,
1,9:40,5v5,EDM,91.0,w,,,,,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8481813,,,
1,9:39,5v5,EDM,91.0,r,,,,,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8481813,,,
